epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,4507.27,1.15192,0.90591,1.11352,0.52081,0.49717,0.51914,0.33709,1.13853,0.85466,1.01549,0.005314,0.005314,0.005314
144,4538.32,1.16249,0.90487,1.117,0.46084,0.57689,0.52626,0.33959,1.13839,0.85483,1.0169,0.005281,0.005281,0.005281
145,4569.47,1.15782,0.90683,1.11715,0.55221,0.50793,0.51769,0.33255,1.14119,0.85304,1.0155,0.005248,0.005248,0.005248
146,4600.65,1.15102,0.90409,1.11547,0.50737,0.50872,0.51339,0.33483,1.13623,0.85468,1.01584,0.005215,0.005215,0.005215
147,4631.77,1.14729,0.89747,1.10827,0.54637,0.5625,0.51959,0.3389,1.13156,0.84868,1.01312,0.005182,0.005182,0.005182
148,4662.89,1.14574,0.9022,1.11344,0.47068,0.56202,0.50457,0.32762,1.13553,0.84685,1.01456,0.005149,0.005149,0.005149
149,4694.13,1.15013,0.89956,1.1124,0.49316,0.55988,0.51791,0.33978,1.13557,0.84261,1.01189,0.005116,0.005116,0.005116
150,4725.26,1.15007,0.9018,1.11589,0.51728,0.55377,0.52464,0.34674,1.13496,0.84027,1.01171,0.005083,0.005083,0.005083
151,4756.43,1.14686,0.89467,1.1117,0.4973,0.55999,0.51435,0.33987,1.13121,0.84166,1.01,0.00505,0.00505,0.00505
152,4787.45,1.14502,0.89633,1.1073,0.56403,0.50305,0.49626,0.32196,1.13618,0.843,1.01278,0.005017,0.005017,0.005017
153,4818.71,1.14918,0.90071,1.11646,0.5113,0.51405,0.50804,0.33526,1.13664,0.84447,1.01417,0.004984,0.004984,0.004984
154,4849.74,1.14091,0.89814,1.11175,0.55326,0.48051,0.51718,0.33468,1.14151,0.85328,1.01634,0.004951,0.004951,0.004951
155,4880.75,1.14472,0.90135,1.11203,0.52305,0.50815,0.52333,0.34302,1.13245,0.84462,1.0131,0.004918,0.004918,0.004918
156,4912.03,1.14625,0.8961,1.11414,0.54472,0.48844,0.51958,0.33673,1.13466,0.84866,1.01351,0.004885,0.004885,0.004885
157,4943.12,1.14184,0.88907,1.10953,0.56191,0.48877,0.52577,0.33832,1.13554,0.8438,1.0129,0.004852,0.004852,0.004852
158,4974.18,1.14003,0.89198,1.10521,0.53251,0.52991,0.51764,0.33264,1.13625,0.84575,1.01275,0.004819,0.004819,0.004819
159,5005.21,1.14484,0.89814,1.11079,0.45792,0.53615,0.50967,0.33199,1.13159,0.83793,1.01024,0.004786,0.004786,0.004786
160,5036.04,1.14328,0.89215,1.10493,0.48952,0.53465,0.50785,0.33171,1.13268,0.84152,1.01026,0.004753,0.004753,0.004753
161,5067.01,1.14377,0.89259,1.10894,0.51307,0.51708,0.50694,0.32866,1.1317,0.84538,1.01116,0.00472,0.00472,0.00472
162,5098.3,1.13774,0.88942,1.10803,0.45743,0.5439,0.49575,0.32289,1.13714,0.8466,1.01224,0.004687,0.004687,0.004687
163,5130.07,1.14404,0.88854,1.10804,0.53639,0.52164,0.50014,0.3221,1.13187,0.84862,1.01056,0.004654,0.004654,0.004654
164,5161.53,1.13518,0.8924,1.10748,0.5345,0.52805,0.51154,0.33289,1.12959,0.84909,1.0109,0.004621,0.004621,0.004621
165,5192.31,1.14986,0.90453,1.11672,0.52679,0.50611,0.51992,0.34102,1.12992,0.84318,1.01115,0.004588,0.004588,0.004588
166,5222.91,1.13901,0.89265,1.10766,0.48121,0.54871,0.52166,0.34172,1.13096,0.84116,1.01148,0.004555,0.004555,0.004555
167,5253.91,1.13468,0.88729,1.10763,0.54654,0.4974,0.53119,0.34925,1.12841,0.84049,1.01197,0.004522,0.004522,0.004522
168,5284.6,1.1395,0.88922,1.10726,0.49962,0.52725,0.52477,0.34408,1.13253,0.83976,1.01079,0.004489,0.004489,0.004489
169,5315.31,1.13827,0.89204,1.11056,0.47512,0.57511,0.52342,0.33942,1.13226,0.84029,1.01065,0.004456,0.004456,0.004456
170,5346.26,1.13129,0.88405,1.10505,0.51293,0.52505,0.5203,0.33486,1.13236,0.84201,1.01164,0.004423,0.004423,0.004423
171,5377.14,1.13509,0.88646,1.10463,0.5313,0.519,0.52253,0.33535,1.13182,0.84089,1.01064,0.00439,0.00439,0.00439
172,5408.16,1.13779,0.88273,1.10412,0.50611,0.52533,0.52115,0.33696,1.13345,0.84044,1.01047,0.004357,0.004357,0.004357
173,5439.25,1.13782,0.88732,1.1014,0.55917,0.50284,0.525,0.33982,1.13755,0.84081,1.00994,0.004324,0.004324,0.004324
174,5470.22,1.13938,0.89275,1.10727,0.53139,0.53731,0.52444,0.342,1.14035,0.84041,1.01028,0.004291,0.004291,0.004291
175,5501.18,1.13315,0.88275,1.10482,0.50048,0.52942,0.53227,0.34719,1.13845,0.83763,1.00923,0.004258,0.004258,0.004258
176,5532.06,1.12982,0.88194,1.10555,0.50714,0.51527,0.53014,0.34133,1.12888,0.83623,1.00768,0.004225,0.004225,0.004225
177,5563.26,1.13013,0.88055,1.10119,0.51509,0.50834,0.53979,0.35328,1.13349,0.83726,1.00935,0.004192,0.004192,0.004192
